OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
72662|101|HERE||5628||5628|535425
74069|101|NONE|0|0|0|0|543370
74090|101|NONE|0|0|0|0|543495
74100|101|NONE|0|0|0|0|543566
74110|101|N/A|0|0|0|0|543589
74114|101|NONE|0|0|0|0|543602
72680|101|UNITEHERE!||703||169093|535425
72714|101|None|0|0|0|0|535483
71546|101|General Fund||||384756|531925
71547|101|Defense Fund||||45802|531925
72719|101|NONE|0|0|0|0|535489
74129|101|NONE|0|0|0|0|543661
62808|102|All Other Accounts||||0|510541
71548|101|Convention Fund||||12304|531925
74132|101|NONE|0|0|0|0|543684
74148|101|0|0|0|0|0|543837
72058|101|Not Applicable|0|0|0|0|534721
72732|101|MIAMI HEAT|10000|||10000|535501
72064|101|S & L Electric||||7842|534756
74154|101|NONE|0|0|0|0|543877
72735|101|UTAH JAZZ|10000|||10000|535501
74165|101|0|0|0|0|0|543912
72066|101|WJ Murray Inc||||8907|534756
72750|101|NONE|0|0|0|0|535512
72753|101|NONE|0|0|0|0|535514
72781|101|N/A|0|0|0|0|535526
72792|101|NONE|0|0|0|0|535545
72077|101|NONE ITEMIZED|0|0|0|0|534782
72867|101|NONE|0|0|0|0|535597
72086|101|MEMBERS DUES||||12001|534801
74184|101|none|0|0|0|0|543959
74191|101|NONE|0|0|0|0|544028
72887|101|OTHER||||22094|535626
74204|101|None|0|0|0|0|544084
72087|101|FIELD DUES||||29698|534801
72094|101|NONE|0|0|0|0|534823
72889|101|PARSONS||||26000|535627
72302|101|MAINE TWP HS|0|0|0|7059|534869
72096|101|NONE ITEMIZED|0|0|0|0|534826
72304|101|CARLINVILLE|0|0|0|6954|534869
72311|101|ARBOR PARK|0|0|0|6791|534869
74209|101|None|0|0|0|0|544102
74238|101|N/A|0|0|0|0|544219
72104|101|NONE ITEMIZED|0|0|0|0|534839
74239|101|N/A|0|0|0|0|544219
72119|101|AURORA WEST|0|0|0|107466|534869
72120|101|NAPERVILLE|0|0|0|105564|534869
74240|101|N/A |0|0|0|0|544219
74241|101|N/A|0|0|0|0|544219
74242|101|N/A|0|0|0|0|544219
72121|101|ROCKFORD|0|0|0|86124|534869
74243|101|N/A|0|0|0|0|544219
72122|101|ST CHARLES|0|0|0|84347|534869
74244|101|N/A|0|0|0|0|544219
74245|101|N/A|0|0|0|0|544219
72123|101|EVANSTON CC|0|0|0|82159|534869
72125|101|MAYWOOD COM|0|0|0|65860|534869
72126|101|CCCLOC|10460|0|0|65731|534869
72128|101|HUNTLEY|0|0|0|51923|534869
72131|101|SCHAUMBURG|0|0|0|49308|534869
72134|101|OAK PARK COM|0|0|0|38599|534869
72312|101|REED-CUSTER|0|0|0|6747|534869
74246|101|N/A|0|0|0|0|544219
74247|101|N/A|0|0|0|0|544219
72135|101|NEA (DUSHANE)|0|0|0|38416|534869
74249|101|FGO|887|||887|544223
72136|101|COLLINSVILLE|0|0|0|38288|534869
72137|101|TROY|0|0|0|35908|534869
72138|101|PALATINE|0|0|0|35205|534869
72139|101|GLENVIEW|0|0|0|34225|534869
74250|101|PSAV||||351|544223
74255|101|BCCC||||718|544223
74257|101|TPSF||||15494|544223
72140|101|CRYSTAL LAKE|0|0|0|33880|534869
74258|101|MBCC||||686|544223
72141|101|ECHO EMP ASSN|0|0|0|31641|534869
72142|101|PARK RIDGE|0|0|0|31526|534869
70277|102|All Other Accounts|||||521610
72144|101|YORKVILLE|0|0|0|29397|534869
72145|101|WILMETTE COM|0|0|0|28671|534869
72146|101|MINOOKA|0|0|0|28491|534869
74293|101|NONE|0|0|0|0|544330
74297|101|NONE|0|0|0|0|544338
74316|101|NONE|0|0|0|0|544380
74331|101|NONE|0|0|0|0|544479
74348|101|NONE|0|0|0|0|544579
72147|101|WOODRIDGE COM|0|0|0|28155|534869
72148|101|ALTON|0|0|0|27004|534869
72149|101|OSWEGO|0|0|0|26943|534869
74354|101|NONE|0|0|0|0|544590
74367|101|NONE|0|0|0|0|544629
72150|101|WAUCONDA|0|0|0|26933|534869
72153|101|MASCOUTAH|0|0|0|24335|534869
74377|101|NONE|0|0|0|0|544696
74389|101|DUES|12029|0|0|51219|544794
72154|101|BELLWOOD COM|0|0|0|23658|534869
72155|101|KIRBY COM|0|0|0|23416|534869
72157|101|GALESBURG|0|0|0|22339|534869
71116|101|None|0|0|0|0|526338
71117|102|All Other Accounts|||||526338
71118|102|All Other Accounts|0|0|0|0|526356
72158|101|BELVIDERE|0|0|0|22215|534869
72159|101|KNOXVILLE|6118|0|0|21312|534869
74417|101|NONE|0|0|0|0|545076
