OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
192573||||||303|511571
192574||||1500||304|511571
192575||||||305|511571
207679|6881 INDUSTRIAL LOOP SHREVEPORT, LA|86965|0|86965|86965|301|521610
207680|6881 INDUSTRIAL LOOP SHREVEPORT, LA|450000|0|450000|450000|302|521610
207681||||||303|521610
207682||101448|0|101448|101448|304|521610
207683||||||305|521610
209861||||||303|525967
209862||||||304|525967
209863||||||305|525967
209894|None|0|0|0|0|301|526338
209895|None|0|0|0|0|302|526338
209896||||||303|526338
209897||||||304|526338
209898||||||305|526338
210180|LAND - 1305 NIAGARA ST., BURBANK, CA|8011|0|8011|350000|301|527520
210181|BUILDING - (SAME ADDRESS AS ABOVE.)|738519|254336|484183|650000|302|527520
210182||49110|27484|21626|18000|303|527520
210183||143039|109254|33785|30000|304|527520
210184||||||305|527520
210226||||||303|527686
210227||20337|20090|247|247|304|527686
210228||||||305|527686
210245|None|0|0|0|0|301|527840
210246|None|0|0|0|0|302|527840
210247||0|0|0|0|303|527840
210248||0|0|0|0|304|527840
210249||0|0|0|0|305|527840
210253|2121 59th Street|18150|0|18150|18150|301|527860
210254|2121 59th Street|222474|132296|90178|90178|302|527860
210255||62331|36922|25409|25409|303|527860
210256||123220|91977|31243|31243|304|527860
210257||261603|261603|0|0|305|527860
210281||||||303|527948
210282||396911|247864|149047|149047|304|527948
210283||14268|0|14268|14268|305|527948
210481|128 Gazza Blvd Farmingdale NY 11735|75000|0|75000|75000|301|528943
210482|128 Gazza Blvd Farmingdale NY 11735|209881||209881|209881|302|528943
210483||||||303|528943
210484||59546||59546|59546|304|528943
210485||19083||19083|19083|305|528943
210511||||||303|528977
210512||2213|2186|27|27|304|528977
210513||||||305|528977
210563|873 Poquonnock Road, Groton, CT|77292|0|77292|100000|301|529219
210564|1250 East Main St, Meriden, CT|75000|0|75000|100000|301|529219
210565|873 Poquonnock Road, Groton, CT|156613|115063|41550|110000|302|529219
210566|1250 East Main St, Meriden, CT|336391|134228|202163|325000|302|529219
210567||172178|172178|0|50000|303|529219
210568||81063|72464|8600|55000|304|529219
210569||||||305|529219
210574||||||303|529222
210575||2522||2522|2522|304|529222
210576||||||305|529222
210585||19961|11976|7985|7985|303|529342
210586||729852|215515|514337|514337|304|529342
210587||973679|744073|229606|229606|305|529342
210588|1133 20TH STREET, NW, WASHINGTON, DC|13497835|0|13497835|13497835|301|529392
210589|1133 20TH STREET, NW, WASHINGTON, DC|47712386|13220584|34491802|34491802|302|529392
210590||||||303|529392
210591||2776944|2401508|375436|375436|304|529392
210592||6284252|4559996|1724256|1724256|305|529392
210596||||||303|529420
210597||12446|7641|4805|4805|304|529420
210598||||||305|529420
