OID|INV_TYPE|NAME|AMOUNT|RPT_ID
190553|703|Marketable Securities Total Cost||521610
190554|704|Marketable Securities Total BookValue||521610
190555|705|Other Investments Total Cost||521610
190556|706|Other Investments Total Book Value||521610
192793|703|Marketable Securities Total Cost||525967
192794|704|Marketable Securities Total BookValue||525967
192795|705|Other Investments Total Cost||525967
192796|706|Other Investments Total Book Value||525967
192819|703|Marketable Securities Total Cost||526338
192820|704|Marketable Securities Total BookValue||526338
192821|701|None|0|526338
192822|705|Other Investments Total Cost||526338
192823|706|Other Investments Total Book Value||526338
192824|702|None|0|526338
193124|703|Marketable Securities Total Cost||527520
193125|704|Marketable Securities Total BookValue||527520
193126|705|Other Investments Total Cost||527520
193127|706|Other Investments Total Book Value||527520
193166|703|Marketable Securities Total Cost|6886|527686
193167|704|Marketable Securities Total BookValue|6886|527686
193168|701|Heinz Stock|6886|527686
193169|705|Other Investments Total Cost||527686
193170|706|Other Investments Total Book Value||527686
193181|703|Marketable Securities Total Cost|0|527840
193182|704|Marketable Securities Total BookValue|0|527840
193183|701|N/A|0|527840
193184|705|Other Investments Total Cost|0|527840
193185|706|Other Investments Total Book Value|0|527840
193186|702|N/A|0|527840
193187|703|Marketable Securities Total Cost|365950|527860
193188|704|Marketable Securities Total BookValue|365950|527860
193189|701|Alliance Bernstein Wealth|32792|527860
193190|701|Loomis Strategic Income Fd|130007|527860
193191|701|FHLMC REMIC Series 3383 Cl DDD 5.5 111537|32405|527860
193192|701|Amerenenergy Generating Co B/E 7.0 041518|25010|527860
193193|701|Missouri St Environmental Impt 5.45 100128|19349|527860
193194|701|Money market funds|66687|527860
193195|705|Other Investments Total Cost||527860
193196|706|Other Investments Total Book Value||527860
193401|703|Marketable Securities Total Cost||528943
193402|704|Marketable Securities Total BookValue||528943
193403|705|Other Investments Total Cost||528943
193404|706|Other Investments Total Book Value|40799|528943
193405|702|Vanguard|40799|528943
193462|703|Marketable Securities Total Cost|1380500|529219
193463|704|Marketable Securities Total BookValue|1380500|529219
193464|701|Eaton Vance|100000|529219
193465|701|Western Asset US Treausury|105000|529219
193466|701|Western Asset Opportunities|100500|529219
193467|701|Pimco Income|125000|529219
193468|701|First Trust Global|150000|529219
193469|701|Pioneer Floating|150000|529219
193470|701|Advent Growth|100000|529219
193471|701|Blackrock Credit|150000|529219
193472|701|Blackrock Income|200000|529219
193473|701|Guggenheim Advanced|100000|529219
193474|701|Wells Fargo|100000|529219
193475|705|Other Investments Total Cost|115|529219
193476|706|Other Investments Total Book Value|115|529219
193477|702|Cedar Fair LP|115|529219
193487|703|Marketable Securities Total Cost||529342
193488|704|Marketable Securities Total BookValue||529342
193489|705|Other Investments Total Cost|379295|529342
193490|706|Other Investments Total Book Value|379295|529342
193491|702|PHPA PUBLICATION |100000|529342
193492|702|INVESTMENT IN REAL ESTATE |71160|529342
193493|702|DEFERRED COMP ANNUITY |208135|529342
193494|703|Marketable Securities Total Cost|152974621|529392
193495|704|Marketable Securities Total BookValue|152974621|529392
193496|705|Other Investments Total Cost|15283267|529392
193497|706|Other Investments Total Book Value|15283267|529392
193498|702|AFL-CIO HOUSING INVESTMENT TRUST|14501643|529392
193503|703|Marketable Securities Total Cost||529420
193504|704|Marketable Securities Total BookValue||529420
193505|705|Other Investments Total Cost||529420
193506|706|Other Investments Total Book Value||529420
193515|703|Marketable Securities Total Cost||529464
193516|704|Marketable Securities Total BookValue||529464
193517|705|Other Investments Total Cost||529464
193518|706|Other Investments Total Book Value||529464
193583|703|Marketable Securities Total Cost||529588
193584|704|Marketable Securities Total BookValue||529588
193585|705|Other Investments Total Cost||529588
193586|706|Other Investments Total Book Value||529588
193591|703|Marketable Securities Total Cost|120547|529660
193592|704|Marketable Securities Total BookValue|120547|529660
193593|701|ILLINOIS STATE PENSION BOND|40294|529660
193594|701|FOWLERVILLE, MI CMNTY BOND|20166|529660
193595|701|JEFFERSONVILLE, IN RDV BOND|50307|529660
193596|701|FORT WAYNE, IN WTRWKS BOND|9780|529660
193597|705|Other Investments Total Cost||529660
193598|706|Other Investments Total Book Value||529660
193620|703|Marketable Securities Total Cost||529728
193621|704|Marketable Securities Total BookValue||529728
193622|705|Other Investments Total Cost||529728
193623|706|Other Investments Total Book Value||529728
193636|703|Marketable Securities Total Cost||529737
193637|704|Marketable Securities Total BookValue|1885|529737
193638|705|Other Investments Total Cost||529737
193639|706|Other Investments Total Book Value||529737
193649|703|Marketable Securities Total Cost|119036|529776
193650|704|Marketable Securities Total BookValue|119036|529776
193651|701|FEDERAL NATIONAL MTG. ASSN. - 50,000 SHARES|39473|529776
193652|701|TENNESSEE VALLEY AUTH. - 30,000 SHARES|23531|529776
193653|705|Other Investments Total Cost||529776
193654|706|Other Investments Total Book Value||529776
193655|703|Marketable Securities Total Cost|1826336|529782
193656|704|Marketable Securities Total BookValue|1826336|529782
193657|701|OPPENHEIMER SEN FLOATING RATE FD - 17,059.587 SHRS|143471|529782
193658|701|AIM INVESCO BAL. RISK ALLOC. CL Y - 7,942.812 SHRS|100000|529782
193659|701|AMERICAN MUTUAL CL F2 - 11,263.263 SHARES|288572|529782
193660|701|FOWARD CREDIT ANALYSIS INVESTOR CL - 11,198.208 SH|100000|529782
193661|701|ISHARES RUSSELL 1000 INDEX ETF - 2,010 SHARES|135095|529782
193662|701|MAINSTAY MARKETFIELD CL I - 6,215.04 SHARES|100000|529782
193663|701|MAINSTAY HIGH YIELD CORP BOND CL I - 15,745.394 SH|94000|529782
193664|701|PIMCO ALL ASSET ALL AUTH. CL P - 9,009.009 SHARES|100000|529782
193665|701|PIMCO COMMODITY REAL RETURN CL P - 14,318.78 SHRS|128935|529782
193666|701|POWERSHARES QQQ ETF - 2,176 SHARES|117047|529782
193667|705|Other Investments Total Cost||529782
193668|706|Other Investments Total Book Value||529782
193669|703|Marketable Securities Total Cost|1466398|529789
193670|704|Marketable Securities Total BookValue|1466398|529789
193671|701|ALLIANZ NFJ INTL VALUE P - 5,303.674 SHARES|131628|529789
193672|701|AMERICAN GW FUND OF AMERICA  F2 - 3,955.546 SHARES|130080|529789
193673|701|DIAMOND HILL LONG-SHORT I - 7,057.925 SHARES|133608|529789
193674|701|ING GLOBAL REAL ESTATE FUND I - 3,793.371 SHARES|75165|529789
193675|701|LOOMIS SAYLES BOND INST - 20,121.278 SHARES|279103|529789
193676|701|PIMCO ALL ASSET P - 11,165.732 SHARES|138571|529789
193677|701|PIMCO TOTAL RETURN P - 46,122.348 SHARES|493894|529789
193678|705|Other Investments Total Cost||529789
193679|706|Other Investments Total Book Value||529789
193680|703|Marketable Securities Total Cost|100000|529790
193681|704|Marketable Securities Total BookValue|100000|529790
193682|701|CITIGROUP CAPITAL VIII - 4,000 SHARES|100000|529790
193683|705|Other Investments Total Cost||529790
193684|706|Other Investments Total Book Value||529790
193701|703|Marketable Securities Total Cost|300487|529878
193702|704|Marketable Securities Total BookValue|300487|529878
193703|701|DIAMOND HILL LONG-SHORT I - 1,243.701 SHARES|23461|529878
193704|701|LOOMIS SALES BOND INST - 7,174.888 SHARES|100350|529878
193705|701|LORD ABBETT FUNDAMENTAL EQ F - 1,986.467 SHARES|24038|529878
193706|701|PIMCO TOTAL RETURN P - 9,528.080 SHARES|102458|529878
193707|705|Other Investments Total Cost||529878
193708|706|Other Investments Total Book Value||529878
193722|703|Marketable Securities Total Cost||529920
193723|704|Marketable Securities Total BookValue|161499|529920
193724|701|COCA COLA NOTE, 5.125%, 9/7/13|25368|529920
193725|701|PITNEY BOWES NOTE, 3.875%, 6/15/13|25140|529920
193726|701|SHERWIN WILLIAMS NOTE, 3.125%, 12/15/14|25991|529920
193727|701|VANGUARD BOND INDEX FUND - INTERMEDIATE TERM|42500|529920
193728|701|VANGUARD BOND INDEX FUND - SHORT TERM|42500|529920
193729|705|Other Investments Total Cost||529920
193730|706|Other Investments Total Book Value|236725|529920
193731|702|MASON TRADE BUILDING ASSOCIATION|236725|529920
193759|703|Marketable Securities Total Cost|1408525|530075
193760|704|Marketable Securities Total BookValue|1408525|530075
193761|701|LEHMAN BROTHERS CAPITAL - 6,000 SHARES|150000|530075
193762|705|Other Investments Total Cost||530075
193763|706|Other Investments Total Book Value||530075
193768|703|Marketable Securities Total Cost|0|530087
193769|704|Marketable Securities Total BookValue|0|530087
193770|701|None|0|530087
193771|705|Other Investments Total Cost|0|530087
193772|706|Other Investments Total Book Value|0|530087
193773|702|None|0|530087
193774|703|Marketable Securities Total Cost|0|530106
193775|704|Marketable Securities Total BookValue|0|530106
193776|701|NONE|0|530106
193777|705|Other Investments Total Cost|0|530106
193778|706|Other Investments Total Book Value|0|530106
193779|702|NONE|0|530106
193780|703|Marketable Securities Total Cost|7911979|530111
193781|704|Marketable Securities Total BookValue|8019284|530111
193782|705|Other Investments Total Cost||530111
193783|706|Other Investments Total Book Value||530111
193784|703|Marketable Securities Total Cost||530123
193785|704|Marketable Securities Total BookValue||530123
193786|705|Other Investments Total Cost|22686|530123
193787|706|Other Investments Total Book Value|22686|530123
193788|702|INVESTMENT IN WHOLLY-OWNED SUBSIDIARY|22686|530123
193789|703|Marketable Securities Total Cost|6065243|530169
193790|704|Marketable Securities Total BookValue|6065243|530169
193791|705|Other Investments Total Cost|2542326|530169
