OID|DESCRIPTION|BOOK_VALUE|RPT_ID
52645|N/A|0|537470
50547|AT&T TELEPHONE DEPOSIT|1000|521610
51190|None|0|526338
51226|INVENTORY OF T-SHIRTS (ESTIMATED)|340|527520
51227|(The information on this page is for disclosure|0|527520
51228|purposes only.  It was not subjected to audit.)|0|527520
51237|Payroll Tax Refunds Due|20|527686
51239|None|0|527840
51240|None|0|527860
51244|Pension Fund|124208|527948
51245|Deposits|45091|527948
51285|LIPA|500|528943
51310|DUE FROM THE WELFARE TRUST FUND|15000|529342
51311|FUNDS DUE FROM LOCALS/GUILDS|26438|529342
51312|INVENTORIES - MEMBERSHIP SUPPLIES|103636|529342
51313|OTHER RECEIVABLES|19192|529342
51314|PREPAID PAYROLL LIABILITIES|22531|529342
51315|PREPAID MEETING EXPENSE|1421741|529392
51316|PREPAID INSURANCE|1040279|529392
51317|OTHER PREPAID EXPENSES|1013592|529392
51318|INVENTORY MERCHANDISE|17648|529392
51319|DEFERRED INCOME TAXES|19427975|529392
51320|SECURITY DEPOSITS|137465|529392
51321|ORGANIZATIONAL FEES|6644|529392
51322|DEFERRED COMPENSATION - 457 PLAN|2116909|529392
51323|LEASEHOLD COMMISSIONS|609688|529392
51324|CAPITALIZED INTEREST|67769|529392
51325|PREPAID RENT|194668|529392
51326|DUE FROM BROKER FOR SECURITIES SOLD|114340|529392
51327|GRANTOR TRUST|3959066|529392
51328|PREPAID TAXES|2668093|529392
51337|NOT APPLICABLE|0|529464
51362|DEPOSITS|45|529737
51381|PREPAID EXPENSES|2315|530046
51383|None|0|530087
51384|PREPAID BUILDING RENT|117600|530106
51385|Lease Deposits|500|530111
51386|SECURITY DEPOSIT|1000|530114
51387|REFUNDABLE STATE OF NH BUSINESS TAX|355|530123
51388|NSF CHECKS RECEIVABLE|2372|530169
51392|ACCRUED INVESTMENT INCOME|42147|530200
51393|INVESTMENT MARKET VALUE ADJUSTMENT|497884|530200
51394|EXCHANGES|3864|530200
51395|PREPAID EXPENSES|7128|530200
51396|ACCRUED INVESTMENT INCOME|12236|530201
51397|PREPAID EXPENSES|988|530201
51398|INVESTMENT MARKET VALUE ADJUSTMENT|159200|530201
51408|PREPAID PER CAPITA TAX|91920|530265
51409|WEBSITE DEVELOPMENT COST, NET OF AMORTIZATION|8190|530265
51410|RENT SECURITY DEPOSIT|4900|530265
51411|DUE FROM RELATED PARTY|3036|530265
51412|NONE|0|530276
51413|Security Deposits|11040|530281
51414|Due from AGVA Foundation|31000|530281
51415|Due from AGVA General Sick & Relief Fund|133337|530281
51417|PREPAID EXPENSES|1823|530301
51418|DUES RECEIVABLE|123095|530301
51419|DUES RECEIVABLE DC 33|1149|530301
51420|SUBSIDY GRANTS RECEIVABLE|7037|530301
51421|Exchange|1619|530303
51422|Security deposit|5550|530303
51423|Prepaid withholding taxes|8197|530303
51424|prepaid expenses|2252|530311
51425|TWU PROPERTIES, INC|306218|530365
51426|PRE PAID EXPENSES|750|530365
51427|Stationery and supplies|2500|530371
51428|Prepaid property tax|2142|530377
51429|Prepaid insurance|2933|530377
51430|CONTRIBUTIONS DUE FROM ADMINISTRATOR|42508|530378
51431|FEES DUE FOR COORDINATOR/SECRETARIAL SERVICES|15879|530378
51432|MEMBERS DUE RECEIVABLE|4868|530378
