OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
132077||AFL-CIO HIT FUND DIVIDENDS|3918|3918|3918|510539
132078||STOCKS|3290|3290|3290|510549
132079||MUTUAL FUNDS|9989|9989|9989|510549
132080||INVESTMENTS|335809|335809|335809|510550
141834||Investments|442792|442792|442792|525967
141835||Office furniture and equipment|4002|4002|4002|525967
141843||Samsung Laptop computer 4646 John R.St LL250 Det,M|380|380|380|526338
142007||LIGHTING FOR APPRENTICESHIP OFFICE|822|822|822|527520
142008||APPLE LAPTOP COMPUTER|1185|1185|1185|527520
142009||H.P. OFFICEJET PRINTER|107|107|107|527520
142010||INTEL CORE COMPUTER|2205|2205|2205|527520
142011||CYCLONE PIVOT FANS - 2|83|83|83|527520
142012||INTEL 64-BIT COMPUTER|1298|1298|1298|527520
142013||SAMSUNG 24" MONITORS - 2|542|542|542|527520
142014||BLACK MESH ARM CHAIRS - 3|587|587|587|527520
142025||None|0|0|0|527840
142028||Office furniture|678|678|678|527860
142029||Camera|341|341|341|527860
142030||Retro-fit HVAC system|14641|14641|14641|527860
142031||Garage|26985|26985|24282|527860
142032||Columbia MO Spl Oblig Elect Util 5.0 100125|11593|11593|11593|527860
142033||Missouri St Environmental Impt 5.0 070124|11598|11598|11598|527860
142034||Amerenenergy Generating Co 6.3 040120|15475|15475|15475|527860
142037||Office Furniture and Equipment|25476|25476|25476|527948
142122||Vanguard Securities|14940|14940|14940|528943
142148||Furniture & Equipment|2000|2000|2000|529342
142149||Leasehold Improvements|281635|281635|281635|529342
142150||BUILDING AND IMPROVEMENTS|99943|99943|99943|529392
142151||FURNITURE AND EQUIPMENT|23300|23300|23300|529392
142152||COMPUTER EQUIPMENT|442856|442856|442856|529392
142153||U.S. TREASURY SECURITIES|77602203|77602203|77602203|529392
142154||OTHER SECURITIES|225894456|225894456|225496894|529392
142156||PURCHASE OF INVESTMENTS|2042|2042|2042|529464
142172||MUNICIPAL BONDS|120547|120547|120547|529660
142173||OFFICE EQUIPMENT|585|585|585|529660
142194||MARKETABLE SECURITIES|8965|8965|8965|529776
142195||MARKETABLE SECURITIES|771616|771616|771616|529782
142196||OFFICE EQUIPMENT|4935|4935|4935|529782
142197||AUTOMOTIVE EQUIPMENT|76385|76385|64335|529782
142198||MARKETABLE SECURITIES|62707|62707|62707|529789
142199||OFFICE EQUIPMENT|2156|2156|2156|529789
142200||OFFICE EQUIPMENT|5326|5326|5326|529790
142211||MARKETABLE SECURITIES|14425|14425|14425|529878
142212||OFFICE EQUIPMENT|5089|5089|5089|529878
142220||OFFICE EQUIPMENT|6235|6235|6235|529896
142221||OFFICE EQUIPMENT|660|660|660|529920
142222||Video Equipment|1175|1175|1175|529952
142228||MARKETABLE SECURITIES|452122|452122|452122|530075
142229||U.S. TREASURY SECURITIES|241120|241120|241120|530075
142230||OFFICE EQUIPMENT|8665|8665|8665|530075
142232||PRINTERS|878|878|878|530078
142233||Secretary Chairs|642|642|642|530087
142234||2 Computers|1550|1550|1550|530087
142235||COMPUTER|1044|1044|1044|530106
142236||COMPUTER|1044|1044|1044|530106
142237||COMPUTER|716|716|716|530106
142238||NOTEBOOK COMPUTER|848|848|848|530106
142239||COMPUTER MONITOR|248|248|248|530106
142240||COMPUTER MONITOR|248|248|248|530106
142241||COMPUTER MONITOR|248|248|248|530106
142242||Purchase of securities|1862783|1862783|1862783|530111
142243||Computers|53863|53863|53863|530111
142244||Automobiles and Other Vechicles|23462|23462|23462|530111
142245||Office Furnitue and Equipment|3294|3294|3294|530111
142246||Field Furniture and Equipment|32124|32124|32124|530111
142247||COMPUTER DATABASE |12750|12750|12750|530114
142248||CASH PURCHASES OF LEASEHOLD IMPROVEMENTS|16960|16960|16960|530123
142249||PURCHASES OF 2 NEW VEHICLES THROUGH FINANCING|59924|59924|59924|530123
142252||4 COMPUTERS |8162|8162|8162|530169
142253||REFRIGERATOR|675|675|675|530169
142254||MARKETABLE SECURITIES|10676041|10676041|10677372|530169
142255||MARKETABLE SECURITIES|13559|13559|13559|530169
142256||MARKETABLE SECURITIES|59097|59097|59097|530169
142258||VANGUARD 500 INDEX FUND|33744|33744|33744|530200
142259||VANGUARD TARGET RETIREMENT FUNDS - 457B PLANS|41540|41540|41540|530200
142260||US GOVERNMENT BONDS|686332|686332|686332|530200
142261||CORPORATE BONDS|717291|717291|717291|530200
