CODE_TYPE|CODE|CODE_NAME|CODE_DESCRIPTION
ACCT_CODE|101|ITEMIZED|ITEMIZED
ACCT_CODE|102|OTHER|ALL OTHERS
ADDRESS_CODE|201|UNION|UNION ADDRESS
ADDRESS_CODE|202|TRUST|TRUST ADDRESS
ASSET_CODE|301|LAND|LAND
ASSET_CODE|302|BUILDING|BUILDING
ASSET_CODE|303|AUTOMOBILE|AUTOMOBILE
ASSET_CODE|304|FURNITURE|FURNITURE
ASSET_CODE|305|OTHER|OTHER ASSETS
ATTACHMENT_CODE|401|REPORT|REPORT ATTACHMENT
ATTACHMENT_CODE|402|BYLAWS|Constitution, Bylaws and Other Attachments
ATTACHMENT_CODE|403|HARDSHIP|HARDSHIP ATTACHMENT
DISBURSEMENT_CODE|501|REPRESENTATIONAL|REPRESENTATIONAL ACTIVITIES
DISBURSEMENT_CODE|502|POLITICAL|POLITICAL ACTIVITIES
DISBURSEMENT_CODE|503|CONTRIBUTIONS|CONTRIBUTIONS, GIFTS AND GRANTS
DISBURSEMENT_CODE|504|OVERHEAD|GENERAL OVERHEAD
DISBURSEMENT_CODE|505|ADMINISTRATION|UNION ADMINISTRATION
DISBURSEMENT_CODE|506|GD|GENERAL DISBURSEMENTS
DISBURSEMENT_CODE|507|NON-ITEMIZED|NON-ITEMIZED
EMP_OFF_CODE|601|OFF|OFFICER
EMP_OFF_CODE|602|EMP|EMPLOYEE
EMP_OFF_CODE|603|EMP_OFF|EMPLOYEE AND OFFICER
EMP_OFF_CODE|604|NON_ITEMIZED_EMP|NON-ITEMIZED EMPLOYEE
FYE_CODE|1|JAN|JANUARY
FYE_CODE|2|FEB|FEBRUARY
FYE_CODE|3|MAR|MARCH
FYE_CODE|4|APR|APRIL
FYE_CODE|5|MAY|MAY
FYE_CODE|6|JUN|JUNE
FYE_CODE|7|JUL|JULY
FYE_CODE|8|AUG|AUGUST
FYE_CODE|9|SEP|SEPTEMBER
FYE_CODE|10|OCT|OCTOBER
FYE_CODE|11|NOV|NOVEMBER
FYE_CODE|12|DEC|DECEMBER
INV_CODE|2201|ITEMIZED_INV|ITEMIZED INVESTMENT
INV_CODE|2202|REINVESTMENTS|REINVESTMENTS
INVESTMENT_CODE|701|MS|MARKETABLE SECURITIES
INVESTMENT_CODE|702|OI|OTHER INVESTMENTS
INVESTMENT_CODE|703|MSTC|MARKETABLE SECURITY TOTAL COST
INVESTMENT_CODE|704|MSTBV|MARKETABLE SECURITY TOTAL BOOK VALUE
INVESTMENT_CODE|705|OSTC|OTHER SECURITY TOTAL COST
INVESTMENT_CODE|706|OSTBV|OTHER SECURITY TOTAL BOOK VALUE
LOAN_CODE|2001|ITEMIZED|ITEMIZED
LOAN_CODE|2002|NON-ITEMIZED|NON-ITEMIZED
MEMBERSHIP_CODE|2101|MEMBERSHIP|MEMBERSHIP
MEMBERSHIP_CODE|2102|NON-ITEMIZED|NON-ITEMIZED
PAYER_PAYEE_CODE|1001|PAYER|PAYER
PAYER_PAYEE_CODE|1002|PAYEE|PAYEE
RATE_CODE|1101|REGULAR|REGULAR DUES/FEES
RATE_CODE|1102|WORKING|WORKING DUES/FEES
RATE_CODE|1103|INITIATION|INITIATION FEES
RATE_CODE|1104|TRANSFER|TRANSFER FEES
RATE_CODE|1105|PERMITS|WORK PERMITS
RECEIPT_CODE|1201|OR|OTHER RECEIPTS
RECEIPT_CODE|1202|GR|GENERAL RECEIPTS
SCHEDULE_CODE|0|MAIN|MAIN
SCHEDULE_CODE|1|SCH1|SCHEDULE 1
SCHEDULE_CODE|2|SCH2|SCHEDULE 2
SCHEDULE_CODE|3|SCH3|SCHEDULE 3
SCHEDULE_CODE|4|SCH4|SCHEDULE 4
SCHEDULE_CODE|5|SCH5|SCHEDULE 5
SCHEDULE_CODE|6|SCH6|SCHEDULE 6
SCHEDULE_CODE|7|SCH7|SCHEDULE 7
SCHEDULE_CODE|8|SCH8|SCHEDULE 8
SCHEDULE_CODE|9|SCH9|SCHEDULE 9
SCHEDULE_CODE|10|SCH10|SCHEDULE 10
SCHEDULE_CODE|11|SCH11|SCHEDULE 11
SCHEDULE_CODE|12|SCH12|SCHEDULE 12
SCHEDULE_CODE|13|SCH13|SCHEDULE 13
