OID|ACCT_TYPE|NAME|TOTAL|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|RPT_ID
62625|101|Liabilities, Federal, State and Fica|2055||||511571
62626|102|All Other Accounts|||||511571
67834|102|All Other Accounts|7683||||521610
68715|102|All Other Accounts|||||525967
68722|101|None|0|0|0|0|526338
68723|102|All Other Accounts|||||526338
68724|102|All Other Accounts|0|0|0|0|526356
68771|101|U.A. INTERNATIONAL (PER-CAPITA TAX)|37946|0|0|0|527520
68772|101|SO. CAL. PIPE TRADES ADMIN. TRUST|11701|0|0|0|527520
68773|101|U.A. Local Union Officers Pension Trust|13641|0|0|0|527520
68774|101|OPEIU LOCALS 30/537 TRUST FUNDS|5559|0|0|0|527520
68775|101|(The information on this page is for disclosure|0|0|0|0|527520
68776|101|purposes only.  It was not subjected to audit.)|0|0|0|0|527520
68777|102|All Other Accounts|3800||||527520
68788|102|All Other Accounts|||||527686
68797|101|None|0|0|0|0|527840
68798|102|All Other Accounts|0|0|0|0|527840
68800|102|All Other Accounts|2703|0|0|0|527860
68808|102|All Other Accounts|623599|0|0|0|527948
68889|102|All Other Accounts||||40799|528943
68922|101|United Association per Capita|61625||||529219
68923|102|All Other Accounts|||||529219
68925|102|All Other Accounts|511157||||529342
68926|102|All Other Accounts|4985774||||529392
68927|102|All Other Accounts|21981|0|0|0|529420
68930|101|NOT APPLICABLE|0|0|0|0|529464
68931|102|All Other Accounts|||||529464
68946|102|All Other Accounts|0|0|0|0|529551
68947|102|All Other Accounts|||||529588
68953|102|All Other Accounts|0|0|0|0|529660
68959|101|UAW INTERNATIONAL UNION|22224|9844|12380||529728
68960|102|All Other Accounts|1900|1045|771||529728
68964|102|All Other Accounts|32517||||529737
68966|102|All Other Accounts|0|0|0|0|529776
68977|102|All Other Accounts|||||529920
68983|101|PROD. WORKERS UNION LOC 148 ANNUITY FD|144440|15070|115450||530046
68984|102|All Other Accounts|19595||||530046
68987|102|All Other Accounts|14276||||530078
68988|101|None|0|0|0|0|530087
68989|102|All Other Accounts|0|0|0|0|530087
68990|101|NONE|0|0|0|0|530106
68991|102|All Other Accounts|6251|0|0|0|530106
68992|101|Total from all other accounts payable|562092||||530111
68993|102|All Other Accounts|||||530111
68994|102|All Other Accounts|0|0|0|0|530114
68995|102|All Other Accounts|0|0|0|0|530123
68996|102|All Other Accounts|||||530169
68998|102|All Other Accounts|||||530200
68999|102|All Other Accounts|||||530201
69016|102|All Other Accounts|||||530245
69018|102|All Other Accounts|10133||||530265
69019|101|NONE|0|0|0|0|530276
69020|102|All Other Accounts|0|0|0|0|530276
69022|102|All Other Accounts|0||||530281
69028|102|All Other Accounts|||||530301
69029|101|chevron|164||||530311
69030|101|earthlink|77||||530311
69031|101|AT&T|69||||530311
69032|101|Mobil|225||||530311
69033|101|wohlner|900||||530311
69034|101|AT&T|71||||530311
69035|101|AT&T|153||||530311
69036|101|raytheon|1511||||530311
69037|101|Unocal|43||||530311
69038|101|porterfield|83||||530311
69039|102|All Other Accounts|164||||530311
69040|102|All Other Accounts|||||530353
69041|102|All Other Accounts|4585||||530365
69042|101|OPERATING ENGINEERS TRUST FUND|20||||530378
69043|101|INTERNATIONAL UNION OF OPERATING ENGINEERS|4073||||530378
69044|101|IUOE & PL HEALTH & WELFARE FUND|3575||||530378
69045|101|CENTRAL PENSION FUND|3250||||530378
69046|101|GENERAL PENSION FUND|2635||||530378
69047|101|WEST COAST ELEC WORKERS ASSOC|1050||||530378
69048|101|COMPUTER AGE|484||||530378
69049|101|UNIQUE FLORAL CREATIONS, INC.|240||||530378
69050|101|PETTY CASH FUND|225||||530378
69051|101|EPEC VOLUNTARY FUND|142||||530378
69052|101|MASTERCARD|85||||530378
69053|101|ZEPHYRHILLS WATER|27||||530378
69054|101|IUOE LOCAL 370|26||||530378
69055|102|All Other Accounts|||||530378
69056|102|All Other Accounts|3474565||||530379
69057|102|All Other Accounts|||||530386
69058|101|Various Accounts Payable|1850862|0|0|0|530394
69059|102|All Other Accounts|||||530394
69060|101|CREDIT CARDS|5518||||530397
69061|102|All Other Accounts|||||530397
69063|102|All Other Accounts|480667|0|0|0|530414
69064|102|All Other Accounts|202039|0|0|0|530419
69065|102|All Other Accounts|0|0|0|0|530423
69069|101|CSD TRADE PAYABLES|4013|0|0|0|530430
69070|101|GENERAL FUND TRADE PAYABLES|9072|0|0|0|530430
69071|101|DUE TO CMA BENEFIT CLUB|24853|0|0|0|530430
69072|101|WORK DUES PAYABLE TO AFM|1626|0|0|0|530430
69073|102|All Other Accounts|||||530430
69074|101|Payroll Taxes|155||||530432
69075|101|ILWU Credit Union Credit Card|810||||530432
69076|102|All Other Accounts|||||530432
69078|102|All Other Accounts|20652||||530435
69081|102|All Other Accounts|696899|0|0|0|530446
69082|102|All Other Accounts|45540||||530449
69083|102|All Other Accounts|0|0|0|0|530452
69084|102|All Other Accounts|6321196||||530453
69085|102|All Other Accounts|1218164||||530461
69086|101|ACCOUNTS PAYABLE WAY TECH|234021||||530469
69087|101|RETAINAGE PAYABLE WAY TECH|189457||||530469
69088|101|WITHHELD  PAYROLL DEDUCTIONS PAYABLE|1367||||530469
69089|102|All Other Accounts|||||530469
69090|101|ABM Security Services Inc.|27315|0|0|0|530473
69091|101|All Covered|63830|23050|0|0|530473
69092|101|AmTrust North America|5574|0|0|0|530473
69093|101|Area|8828|0|0|0|530473
69094|101|Bush Quinonez Gottlieb Singer Lopez Koha|106598|0|0|0|530473
69095|101|Business Card|54677|0|0|0|530473
69096|101|Continental Colorcraft|7358|0|0|0|530473
69097|101|Decker Studio|36404|0|0|0|530473
69098|101|Digital Economic|12000|0|0|0|530473
69099|101|Diners Club|6973|0|0|0|530473
69100|101|Essential Television Statistics|25397|0|0|0|530473
69101|101|Forscey PLLC|10228|0|0|0|530473
69102|101|Franchise Tax Board|5000|0|0|0|530473
69103|101|Gingold & Company|7307|0|0|0|530473
69104|101|Goddard, Margaret P.|16310|0|0|0|530473
69105|101|Green Hasson Janks|145157|0|0|0|530473
69106|101|Kazarian, Armen B.|13000|0|0|0|530473
69107|101|Lake Arrowhead Conference Deposits|39325|0|0|0|530473
69108|101|Legal Files Software, Inc.|78200|0|78200|0|530473
69109|101|Litholink|6679|0|0|0|530473
69110|101|Los Angeles Dept of Water and Power|18224|0|0|0|530473
69111|101|Miller Kaplan Arase LLP|72050|0|0|0|530473
69112|101|Morning Star Coffee Service|8536|0|0|0|530473
69113|101|Nielsen Media Research|9725|0|0|0|530473
69114|101|Nigro, Karlin, Segal & Feldstein|39005|0|0|0|530473
69115|101|Producer-Wga Pension Plan|71705|0|0|0|530473
69116|101|Richard Garrett|15000|0|0|0|530473
69117|101|Rothner, Segall & Greenstone|69925|0|0|0|530473
69118|101|Schulman, Tom|11443|0|0|0|530473
69119|101|Servicon Systems, Inc|13410|0|0|0|530473
69120|101|Staffmark|57855|0|0|0|530473
69121|101|Tony Brancato|12500|0|0|0|530473
69122|101|TV Data Technologies LP|10234|0|0|0|530473
69123|101|Writers Guild-Ind Health Fund|79355|0|0|0|530473
69124|102|All Other Accounts|105764|13|0|0|530473
69125|102|All Other Accounts|0||||530475
69126|102|All Other Accounts|673||||530477
69141|101|Sunshine Sachs|52500|30000|0|0|531612
69142|102|All Other Accounts|273797|0|0|0|531612
69143|101|NONE|0|0|0|0|531640
69144|102|All Other Accounts|||||531640
69145|101|AFGE National Union|59362|59604|59544||531716
69146|102|All Other Accounts|||||531716
69156|101|General Fund|1166858||||531925
69157|101|Defense Fund|58423||||531925
69158|102|All Other Accounts|||||531925
69162|102|All Other Accounts|0|0|0|0|532002
