OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
19405|TEAMSTERS LOCAL UNION NO. 406|50000|0|0|50000|0|517271
21519|N/A|0|0|0|0|0|537470
22131|0|0|0|0|0|0|547745
20961|None|0|0|0|0|0|526338
20988|Old Second National Bank|1585422|0|118063|1467359|0|527840
20989|None|0|0|0|0|0|527860
21014|Office and Professional Employees Pension Plan|107180|0|9520|0|97660|529420
21017|MORTGAGE NOTE PAYABLE|416119|0|24316||0|529464
21038|GMAC - 2011 CHEVY IMPALA|15272|0|4166|0|11106|529789
21039|GMAC - 2010 CHRYSLER TOWN & COUNTRY|10908|0|4642|0|6266|529789
21047|INT'L UNION OF ALLIED NOV. PROD.- INT'L LABOR ORG.|0|10000|10000|0|0|530046
21048|None|0|0|0|0|0|530087
21049|NONE|0|0|0|0|0|530106
21050|AUTOSERV OF TILTON NH|0|59924|9496|0|50428|530123
21057|Ford Credit-Automobile|0|7641|585||7056|530245
21058|NONE|0|0|0|0|0|530276
21059|DC 33 LEGAL SERVICE PLAN|122544||||122544|530301
21060|Ford Credit|39085||11901||27184|530371
21063|Keybank - Lineof Credit|0|2668027|2668027|0|0|530394
21064|NONE|0|0|0|0|0|530423
21066|FORD MOTOR CORP|141407|0|30063|23154|88190|530452
21067|US Bank|10920||2968||7952|530477
21075|None|0|0|0|0|0|531612
21076|NONE|0|0|0|0|0|531640
21077|Ford Motor Credit |12648|0|12648||0|531828
21078|Ford Motor Credit #1|0|18853|18853||0|531828
21079|Ford Motor Credit #2|0|7036|7036||0|531828
21084|Frost National Bank|1520995|0|54295|1466700|0|532159
21085|UBCJA|1200000|0|0|1200000|0|532159
21086|Note Payable-Colcord|190188||130127|60061|0|532307
21348|NOTE PAYABLE TO NCCRC|1838828|0|45876|0|1792952|535443
21091|VEHICLE FINANCING|0|27000|0|0|27000|532367
21092|Northeastern Engineers Federal Credit Union |0|276000|4509|0|271491|532413
21094|POWERNET BANK - AUTO|1300|0|1300|0|0|532451
21095|POWERNET BANK - AUTO|18174|0|4910|0|13264|532451
21096|MORGN STANLEY|0|153049|0|0|153049|532454
21097|NONE|0|0|0|0|0|532466
21098|NONE|0|0|0|0|0|532472
21104|Mortgage Loan|718885|0|43724||675161|532598
21109|NONE|0|0|0|0|0|532637
