OID|DESCRIPTION|AMOUNT|RPT_ID
79540|None|0|526338
79655|None|0|527840
79656|Payroll withholdings|6979|527860
79662|Deferred Comp - Funded|124208|527948
79663|Sick and Vacation Payable|600918|527948
79739|Payroll Liabilites|5224|528943
79740|Rental Security Deposit|1500|528943
79741|Pension Liabilties|42589|528943
79757|Payroll Liabilities|1900|528977
79779|PAYROLL TAX PAYABLE|511|529222
79783|FUNDS HELD FOR RETIREMENT PLAN|80729|529342
79784|FUNDS DUE TO LOCALS/GUILDS|680|529342
79785|PAYROLL LIABILITIES|24350|529342
79786|ROYALTIES DUE TO PLAYERS|29233723|529392
79787|ACCRUED DUES REBATE PAYABLE|1321011|529392
79788|DEFERRED COMPENSATION - 457 PLAN|2116909|529392
79789|DEFERRED RENT/SECURITY DEPOSITS|205607|529392
79790|DEFERRED LICENSING INCOME|64965491|529392
79791|GRANTOR TRUST|3959066|529392
79792|MINORITY INTEREST HELD BY 3RD PARTY IN NFL PLAYERS|377985|529392
79795|Payroll Taxes Withheld|2252|529420
79798|NOT APPLICABLE|0|529464
79817|Payroll Liabilities|49520|529588
79825|UNEMPLOYMENT TAXES FEDERAL (940)|22|529728
79827|DUE TO AFFILIATES|7274|529737
79830|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|529789
79831|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|1267|529789
79861|PAYROLL LIABILITIES|1787|529920
79862|Payroll Liabilities|2637|529952
79869|DUE TO PWU LOCAL 148 WELFARE FUND|2805|530046
79870|DUE TO PWU LOCAL 148 PENSION FUND|4236|530046
79872|Minnesota Unemployment|189|530087
79873|Minnesota Dislocated Worker Tax|48|530087
79874|OPEIU|273|530087
79875|Officer Withholdings|688|530087
79876|NONE|0|530106
79877|Withholding Taxes|20057|530111
79881|EMPLOYEE WITHHOLDING|9096|530169
79891|SEVERANCE PAYABLE|517351|530200
79892|ACCRUED EXPENSES|30632|530200
79893|457B PLAN LIABILITIES|266203|530200
79894|PAYROLL WITHHOLDING|1730|530200
79895|DUE TO RELATED ORGANIZATION|338|530200
79896|SEVERANCE PAYABLE|103546|530201
