RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
544567|||||||||
536422|||||||||0
538833|0|0|0|0|160915|146794|0|0|160915
538834|106|305|0|0|0|0|0|0|106
538835|0|0|0|0|0|0|7129|22476|7129
546184|||||||||0
539631|0|0|0|0|0|0|0|0|0
543446|0|0|0|0|0|0|0|0|0
539633|0|0|0|0|0|0|0|0|0
539634|0|0|0|0|0|0|0|0|0
539637|0|0|0|0|0|0|0|0|0
539639|0|0|0|0|0|0|0|0|0
539643|565|633|0|0|0|0|0|0|565
539648|0|0|0|0|0|0|0|0|0
539649|0|0|0|0|0|0|0|0|0
539651|||||||1048|1045|1048
534181|0|0|0|0|0|0|365|761|
539962|0|0|0|0|0|0|0|0|
548250|0|0|0|0|0|0|0|0|
548251|27606|21545|0|0|0|0|3184|3238|
544507|213675|400898|||0|0|7917|18210|
544509|0|0|0|0|0|0|1447|1604|
540225|0|0|0|0|0|0|3570|0|
534443|0|0|0|0|0|0|0|0|
534444|0|0|0|0|0|0|75575|75705|
503021|2741|0|0|0|0|0|0|0|
534445|0|0|0|0|0|0|831|739|
506977|||||0|0|||
507588|0|0|0|0|0|0|1198|0|
509937|||||0|0|7541||
509938|10196||||0|0|||
509939|||||0|0|14368||
509940|0||25417||0|0|26782||
510539|7158||||0|0|1357||
510541|17270||0||0|0|179||
510547|11814||||0|0|1378||
510549|21751||||0|0|1982||
510550|0||0||0|0|22339||
534446|5973|4993|0|0|0|0|0|0|
511571|2135|2055|||0|0|||
512659|999|0||0||0||0|999
512660|0|0|0|0|0|0|137|0|137
512661|0|0|0|0|0|0|0|0|0
512662|469|0|0|0|0|0|0|0|0
512667|34486|22513|||||||
544514|0|0|0|0|0|0|707|968|
513458|0|0|0|0|0|0|0|0|
544519|||||16593|14758|||
514964|263|263|0|0|0|0|0|0|
544520|0|0|0|0|0|0|25438|13216|
516139|0|0|0|0|0|0|0|0|0
516262|55422||0||0|0|81146||
517271|0||50000|0|0|0|0||
544529|45260|49317|0||0|0|0||
517645|||||0|0|||
518300|901|0|0|0|0|0|0|0|
518368|344|160|3669|0|0|0|0|0|
518788|0|0|0|0|0|0|0|0|0
518791|0|0|0|0|0|0|0|0|
