OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
159978|2101|REGULAR|256|T|510539
159979|2101|RETIRED|151|T|510539
159980|2101|APPRENTICE|18|T|510539
159981|2101|REGULAR|417|T|510541
159982|2101|RETIREE|201|F|510541
159983|2101|APPRENTICE|30|T|510541
159984|2101|REGULAR|264|T|510547
159985|2101|RETIRED|51|T|510547
159986|2101|APPRENTICE|11|T|510547
159987|2102||2|F|510547
159988|2101|REGULAR|757|T|510549
159989|2101|RETIRED|272|T|510549
159990|2101|APPRENTICE|58|T|510549
159991|2101|CONTRACTOR|38|T|510549
159992|2101|50 DISABLED|8|T|510549
159993|2102||0|F|510549
159994|2101|REGULAR|499|T|510550
159995|2101|RETIRED|207|T|510550
159996|2101|APPRENTICE|28|T|510550
159997|2102||11|F|510550
160197|2101|Journeyman/Mechnic|68|T|511571
160198|2101|Apprentice/Improver|15|F|511571
163094|2101|ACTIVE MEMBERS|2449|T|517271
163095|2102||78|F|517271
163495|2101|regular|45|T|517645
163496|2101|retiree|12|T|517645
169805|2101|REGULAR MEMBERS|0|T|521610
169806|2102||0|F|521610
169877|2101||0|F|521652
171311|2101|Professional and non professional government emplo|1135|T|526338
171312|2101|Retired Members|26|T|526338
171313|2101|Special Retired Affilliate Members|3|F|526338
171321|2101|MEMBER|0|F|526356
171322|2102||0|F|526356
171519|2101|JOURNEYMEN|509|T|527520
171520|2101|APPRENTICES|291|F|527520
171521|2101|RETIREES|33|T|527520
171522|2101|MEMBERS IN ARREARS|273|F|527520
171523|2101|FINANCIAL CORE|1|F|527520
171549|2101|Regular Members|450|T|527686
171566|2101|"A" members|196|T|527860
171567|2101|"BA" members|649|T|527860
171568|2102||0|F|527860
171578|2101|Active Members|18241|T|527948
171579|2102||5119|F|527948
171711|2101|Dues Paying Members|986|T|528943
171733|2101|Apprentice|7|F|528977
171734|2101|Journeyman|32|T|528977
171762|2101|BTA - Building Trades Apprentice|104|F|529219
171763|2101|BTJ - Building Trades Journeymen|2264|T|529219
171764|2101|MTA - Metal Trades Apprentices|13|F|529219
171765|2101|MTJ - Metal Trades Journeymen|459|T|529219
171770|2101|ACTIVE MEMBERS|849|T|529222
171771|2102||0|F|529222
171775|2101|ACTIVE MEMBERS|113221|T|529342
171776|2101|ASSOCIATE MEMBERS|247|F|529342
171777|2102||46|F|529342
171778|2101|ACTIVE PLAYERS|2006|T|529392
171779|2101|FORMER PLAYER MEMBERS|3230|F|529392
171780|2101|ASSOCIATE MEMBERS|194|T|529392
171784|2101|Members|504|T|529420
171788|2101|NOT APPLICABLE - PLAN TERMINATED|0|F|529464
171802|2101|Regular Members|504|T|529551
171803|2101|50 Year Honorary|49|T|529551
171804|2101|Early retired|104|T|529551
171805|2101|Retired|41|T|529551
171806|2101|Apprentice|71|T|529551
171807|2102||0|F|529551
171810|2101|JOURNEYMAN|472|T|529603
171811|2101|APPRENTICE|59|T|529603
171812|2101|DISABLED|25|T|529603
171813|2101|EARLY RETIRED|79|T|529603
171814|2101|HONORARY|20|T|529603
171815|2101|RETIRED|73|T|529603
171816|2102||0|F|529603
171820|2101|REGULAR UNNION MEMBERS PAYING DUES|1300|T|529660
171832|2101|REGULAR MEMBERS|0|T|529728
171833|2102||0|F|529728
171840|2101|ACTIVE|378|T|529737
171850|2101|ACTIVE MEMBER|497|T|529776
171851|2101|RETIRED MEMBER|1|F|529776
171852|2101|UNEMPLOYED MEMBER|0|F|529776
171853|2101|LIFE MEMBER|67|F|529776
171854|2101|OFFICIAL MEMBER|45|F|529776
171855|2102||0|F|529776
171856|2101|ACTIVE MEMBER|2330|T|529782
171857|2101|RETIRED MEMBER|51|F|529782
171858|2101|UNEMPLOYED MEMBER|217|F|529782
171859|2101|LIFE MEMBER|254|F|529782
171860|2101|OFFICIAL MEMBER|134|F|529782
171861|2102||0|F|529782
171865|2101|ACTIVE MEMBER|2106|T|529789
171866|2101|RETIRED MEMBER|27|F|529789
171867|2101|UNEMPLOYED MEMBER|0|F|529789
171868|2101|LIFE MEMBER|454|F|529789
171869|2101|OFFICIAL MEMBER|100|F|529789
171870|2102||0|F|529789
171871|2101|ACTIVE MEMBER|1558|T|529790
171872|2101|RETIRED MEMBER|10|F|529790
171873|2101|UNEMPLOYED MEMBER|0|F|529790
171874|2101|LIFE MEMBER|142|F|529790
171875|2101|OFFICIAL MEMBER|45|F|529790
171876|2102||1|F|529790
171893|2101|ACTIVE MEMBER|1548|T|529878
171894|2101|RETIRED MEMBER|28|F|529878
171895|2101|UNEMPLOYED MEMBER|0|F|529878
171896|2101|LIFE MEMBER|92|F|529878
171897|2101|OFFICIAL MEMBER|124|F|529878
171898|2102||0|F|529878
171903|2101|ACTIVE MEMBER|2566|T|529896
171904|2101|RETIRED MEMBER|3|F|529896
171905|2101|UNEMPLOYED MEMBER|0|F|529896
171906|2101|LIFE MEMBER|275|F|529896
171907|2101|OFFICIAL MEMBER|78|F|529896
171908|2102||0|F|529896
171909|2101|JOURNEYMAN|326|T|529920
171910|2101|APPRENTICE|37|T|529920
171911|2101|RETIRED|113|T|529920
171912|2102||0|F|529920
171913|2101|Regular|910|T|529952
171914|2102||7|F|529952
171941|2101|ACTIVE MEMBERS|1078|T|530046
171942|2102||0|F|530046
171949|2102||0|F|530075
171944|2101|ACTIVE MEMBER|2808|T|530075
171945|2101|RETIRED MEMBER|37|F|530075
171946|2101|UNEMPLOYED MEMBER|0|F|530075
171947|2101|LIFE MEMBER|232|F|530075
171948|2101|OFFICIAL MEMBER|150|F|530075
171952|2101|REGULAR MEMBERS|594|T|530078
171953|2101|RETIRED MEMBERS|165|T|530078
171954|2101|LIFETIME L13 MEMBERS|14|T|530078
171955|2101|SUPERVISORY- E09, W09|7|F|530078
