OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
246589|1101|31|MEMBER|N/A|N/A|503021
246590|1103|N/A|N/A|N/A|N/A|503021
246591|1104|N/A|N/A|N/A|N/A|503021
246592|1105|N/A|N/A|N/A|N/A|503021
254411|1101|n/a|n/a|n/a|n/a|506977
254412|1102|||||506977
254413|1103|||||506977
254414|1104|||||506977
254415|1105|||||506977
255311|1101|20|month|N/A|N/A|507588
255312|1103|N/A|N/A|N/A-|N/A|507588
255313|1104|N/A|N/A|N/A|N/A|507588
255314|1105|N/A|N/A|N/A|N/A|507588
258830|1101|33.00|Month|8.40|33.00|509937
258831|1102|1.50|Hour|||509937
258832|1103|0.00|Initiation|||509937
258833|1104|1.00|Transfer|||509937
258834|1105|5.00|Week|||509937
258835|1101|33.00|Month|8.40|33.00|509938
258836|1102|1.50|Hour|||509938
258837|1103|0.00|Initiation|||509938
258838|1104|1.00|Transfer|||509938
258839|1105|5.00|Week|||509938
258840|1101|32.00|Month|8.40|32.00|509939
258841|1102|1.50|Hour|||509939
258842|1103|0.00|Initiation|||509939
258843|1104|1.00|Transfer|||509939
258844|1105|5.00|Week|||509939
258845|1101|33.00|Month|8.40|33.00|509940
258846|1102|1.50|Hour|||509940
258847|1103|100.00|Initiation|||509940
258848|1104|0.00|Transfer|||509940
258849|1105|0.00|Week|||509940
259416|1101|$25.00|MONTH|$15.80|$25.00|510539
259417|1102|$1.80|HOUR|$1.33|$1.83|510539
259418|1103|$300.00|ONE TIME|$50.00|$300.00|510539
259419|1104|N/A|N/A|N/A|N/A|510539
259420|1105|N/A|N/A|N/A|N/A|510539
259425|1101|$25.00|MONTH|$6.00|$25.00|510541
259426|1102|4%|GROSS WAGES|1%|4%|510541
259427|1103|$300.00|ONE TIME|$60.00|$300.00|510541
259428|1104|N/A|N/A|N/A|N/A|510541
259429|1105|N/A|N/A|N/A|N/A|510541
259438|1101|$21.00|MONTH|$6.00|$21.00|510547
259439|1102|2%|GROSS WAGES|2%|2%|510547
259440|1103|$300.00|ONE TIME|$75.00|$300.00|510547
259441|1104|NA|NA|NA|NA|510547
259442|1105|NA|NA|NA|NA|510547
259443|1101|$23.00|MONTH|$6.00|$35.00|510549
259444|1102|$1.00|HOUR|$1.00|$1.00|510549
259445|1103|$300.00|ONE TIME|$60.00|$300.00|510549
259446|1104|NA|NA|NA|NA|510549
259447|1105|NA|NA|NA|NA|510549
259448|1101|$27.00|MONTH|$6.00|$27.00|510550
259449|1102|$0.78|HOUR|$0.78|$0.78|510550
259450|1103|$300.00|ONET IME|$60.00|$300.00|510550
259451|1104|NA|NA|NA|NA|510550
259452|1105|NA|NA|NA|N|510550
260361|1101|8%|N/A|N/A|N/A|511571
260362|1102|0|N/A|N/A|N/A|511571
260363|1103|500.|N/A|N/A|N/A|511571
260364|1104|0|N/A|N/A|N/A|511571
260365|1105|0|N/A|N/A|N/A|511571
262685|1101|5%|MONTH|NA|NA|513458
262686|1103|NA|NA|NA|NA|513458
262687|1104|NA|NA|NA|NA|513458
262688|1105|NA|NA|NA|NA|513458
265341|1101|2 HRS STRAIGHT TIME|MONTH|0|0|514964
265342|1103|$ 20.00|1 TIME|0|0|514964
265343|1104|0|0|0|0|514964
265344|1105|0|0|0|0|514964
267607|1101|Various|month|8.00|31.00|516262
267608|1102|2%|Gross|2%|2%|516262
267609|1103|Various|item|50|100|516262
267610|1104|N/A|N/A|N/A|N/A|516262
