OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
333809|1201|ADVERTISING REIMBURSEMENT|2012-11-13|13214|1192173|510541
333810|1201|PROMOTIONAL REIMBURSEMENT|2012-08-08|5597|1192175|510547
333811|1201|PROMOTIONAL BUDGET|2012-08-22|11753|1192177|510549
377195|1201|Dist. Council Grant|2013-01-02|17000|1346494|521652
377196|1201|Dist. Council Grant|2013-02-01|20000|1346494|521652
381954|1201|SAME.|2012-04-06|7500|1368868|527520
381955|1201|SAME.|2012-05-09|7500|1368868|527520
381956|1201|SAME.|2012-06-06|7500|1368868|527520
381957|1201|SAME.|2012-07-11|7500|1368868|527520
381958|1201|SAME.|2012-08-08|7500|1368868|527520
381959|1201|SAME.|2012-09-05|7500|1368868|527520
381960|1201|SAME.|2012-10-03|7500|1368868|527520
381961|1201|SAME.|2012-11-08|7500|1368868|527520
381962|1201|SAME.|2012-12-13|7500|1368868|527520
381963|1201|SAME.|2013-01-09|7500|1368868|527520
381964|1201|CONVENTION REIMBURSEMENT|2012-08-08|6000|1368868|527520
381965|1201|CONVENTION REIMBURSEMENT|2013-01-26|6000|1368868|527520
381966|1201|ORGANIZING ASSISTANCE|2012-02-03|5000|1368868|527520
381967|1201|SAME.|2012-03-07|5000|1368868|527520
381968|1201|REIMBURSE FOR RENT & CLERICAL SERVICES.|2012-02-16|8018|1368877|527520
381969|1201|SAME.|2012-03-16|8018|1368877|527520
381970|1201|SAME.|2012-04-25|8018|1368877|527520
381971|1201|SAME.|2012-05-16|8018|1368877|527520
381972|1201|SAME.|2012-06-14|8019|1368877|527520
381973|1201|SAME.|2012-07-19|8018|1368877|527520
381974|1201|SAME.|2012-08-15|8018|1368877|527520
381975|1201|SAME.|2012-09-19|8018|1368877|527520
381976|1201|SAME.|2012-10-10|8961|1368877|527520
381977|1201|SAME.|2012-12-05|8961|1368877|527520
381978|1201|SAME.|2012-12-20|8962|1368877|527520
382014|1201|Reimbursed expenses|2013-01-11|14157|1369036|527840
382015|1201|Reimbursed expenses|2013-01-25|10732|1369036|527840
382016|1201|Reimbursed expenses|2013-02-22|16255|1369036|527840
382017|1201|Reimbursed expenses|2013-03-18|12430|1369036|527840
382018|1201|Reimbursed expenses|2013-02-28|5055|1369037|527840
382019|1201|Reimbursed expenses|2013-01-25|6238|1369038|527840
382020|1201|Reimbursed expenses|2013-02-28|7183|1369038|527840
382021|1201|Reimbursed expenses|2013-03-12|5682|1369038|527840
382022|1201|Reimbursed salary and fringes of organizer|2013-02-08|25935|1369045|527840
382023|1201|Banquet receipts|2013-03-27|7860|1369046|527840
382644|1201|Reimbursement Alliance Expenses|2012-03-02|25000|1370659|529342
382645|1201|Credit Card Royalties|2012-03-12|15473|1370660|529342
382646|1201|Credit Card Royalties|2012-04-11|15424|1370660|529342
382647|1201|Credit Card Royalties|2012-05-04|15472|1370660|529342
382648|1201|Credit Card Royalties|2012-06-11|15507|1370660|529342
