RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
530430|45704|0||0||7312|0|0|253339||22208|0|425700||11333
530432|1211920|0||0||1071|0|0|50945||3|0|7672||3
530435|10986980|0|99000|0||0|147783|0|0||411781|0|0||20683
530437|67316|0|0|||29|||0||100||||
529220|99025|0|0|||279|||0||150||||
529222|441443|0||0||63|0|0|0||0|0|0||0
530440|446377|0||0||0|0|0|0||275719|0|0||36468
530446|15279633|0|6977031|0|0|364596|256238|1480704|191843|0|9528160|0|0|30991427|378272
530447|320913|0||0|0|525|0|0|0||0|0|0||
535435|51069|0||0||234|0|26708|103214||2730|96279|239731||2730
535436|460034|0|0|4586|0|0|0|0|0||22684|32016|0|0|21176
503021|126|0|0|||0|||0||13834||||
506977|0|0||0||15|0|0|0||506|12420|0||506
507588|5757|0|0|||17|||0||15600||||
509937|0|0||0||0|0|0|0||1278|0|0||1278
509938|0|0||0||0|0|0|0||4347|0|0||4347
509939|0|0||0||0|0|0|0||0|0|0||0
509940|0|0||0||2654|0|0|0||1171|0|0||1171
510539|98000|0||213||145|3918|925|921||1581|0|0||1581
510541|153206|0||383||2599|0|17475|8950||18824|12394|0||5610
510547|118201|0||293||1213|0|0|850||5597|3810|0||0
510549|211570|0|7251|840||14553|5129|0|4836||12039|0|0||286
510550|198569|0|53469|0||23017|2016|0|84019||0|15755|0||0
511571|338503|0||0||0|0|0|12245||0|0|0||
513458|0|0|0|||16|||0||6000||||
514964|1514|0|0|||2|||0||340||||
512659|77972|0|0|||31|||1422||32518||||
512660|38492|0|0|||460|||393||963||||
512661|63277|0|0|||165|||882||8330||||
512662|23673|0|0|||262|||0||17552||||
512667|21594||||||||||||||
516262|37508|0||0||0|0|0|0||0|0|0||
517271|104816|0||0||3|0|0|6805|0|132|0|52||132
517645|464|0||0||0|0|0|0||0|0|0||
518300|5907|0|0|||6|||0||1280||||
518368|45568|0|0|||0|||0||0||||
518791|21532|0|0|||11|||168||5||||
520269|8036|0|0|||0|||0||493||||
521610|7857|0|0|0|0|0|0|0|0|0|1821|0|0||1821
521652|2973|0|0|0||0|0|975|225||37000|0|0|0|0
522014|6371|0|0|||6|||0||321||||
522387|3634|0|0|||0|||0||0||||
516139|0|0|0|||16|||0||0||||
524259|12730|0|0|||0|||0||33485||||
524475|9833|0|0|||2718|||0||0||||
525076|190|0|0|||98|||15386||0||||
525397|117539|0|0|||3121|||0||3064||||
525703|30159|0|0|||0|||0||0||||
518788|25161|746|0|||0|||0||63||||
525935|9519|0|0|||0|||1312||105939||||
525967|1638814|0|0|0|0|64464|0|2800|83462|0|41855|0|0|339416|14036
526338|287695|0|0|0|0|0|0|0|0|0|805|0|0||805
526356|0|0|0|0||0|0|0|0||0|0|0|0|0
526591|91724|0|0|||0|||0||1912||||
530449|216122|4384080||1278||630|55326|0|94255|0|215055|0|318364||98055
530450|0|0||0||0|0|0|0||4421|0|0||4421
523429|0|22838|0|||1|||0||0||||
523733|10475|1995|0|||0|||0||0||||
526987|12729|7302|0|||8|||0||250||||
527320|16280|1487|0|||0|||0||0||||
527506|0|103859|0|||217|||0||200||||
524608|122613|0|0|||3|||1455||2989||||
539486|53729|0|0|||0|||0||24578||||
525280|12405|0|0|||409|||0||0||||
527520|1074158|0|0|520|0|4985|0|3670|201114|0|201795|0|0||8928
527770|40882|0|0|||432|||0||14823||||
525671|10241|0|0|||25|||0||0||||
527680|3474|0|0|||5|||0||0||||
527686|71279|0||0||597|0|0|3730||0|0|0||0
527840|732269|0|0|0|0|3440|0|256402|2245|0|129130|0|0||2124
527860|979555|0|1250|540|0|1093|0|24000|0|0|42712|0|0|38666|23736
527930|0|0|0|||0|||0||0||||
527931|20293|0|0|||6|||0||32||||
527932|137384|0|0|||6|||75||138||||
527948|6152511|28411||0||27|0|0|0||0|0|0||0
527978|123878|0|0|||2149|||0||0||||
528068|42192|0|0|||101|||0||309||||
528072|0|81453|0|||0|||0||5489||||
528075|226104|0|0|||712|||0||0||||
528332|106722|0|0|||0|||0||3219||||
528355|8148|0|0|||0|||0||0||||
528460|5456|0|213235|||4708|||0||4052||||
526559|15827|0|0|||0|||0||0||||
526543|17480|0|0|||0|||0||0||||
527180|16080|0|0|||0|||0||0||||
527251|31832|8177|0|||5|||0||1615||||
528821|185390|0|0|||0|||4106||197||||
528822|61760|0|0|||4|||0||0||||
528856|1441|0|0|||0|||0||441||||
527391|86494|0|0|||12|||0||1065||||
527666|22137|0|0|||0|||0||0||||
527839|13867|0|0|||27|||0||170||||
527927|19473|0|0|||10|||0||100||||
528940|164861|0|0|||592|||0||8328||||
528943|251624|0||0|0|1100|0|24000|0||922|0|0||922
528977|283447|0||0|0|20|0|0|0||0|0|0||
529039|115931|0|0|||4|||0||72||||
529152|157487|0|0|||0|||0||12314||||
529155|11645|0|0|||0|||0||0||||
529156|180757|0|0|||0|||0||3975||||
528041||65980|||||||12966||13044||||
527969|0|0|0|||14|||0||0||||
528039|26800|0|0|||24|||0||0||||
528038|174131|0|0|||0|||0||3191||||
528040|14234||||||||||102||||
528296|132381|0|0|||508|||0||37541||||
528295|106159|0|0|||1246|||0||0||||
528199|0|8682|0|||22|||0||0||||
528290|137162|0|0|||1059|||0||34||||
527965|19077|0|0|||20|||0||2033||||
528144|12223|0|0|||1347|||43514||3508||||
529176|2563|0|0|||127|||0||58||||
529212|4153|0|0|||35|||0||68||||
529219|2899551|678797|100242|560|0|1640|71291|0|41685|0|47225|0|0||47225
529223|5175|0|0|||0|||0||3694||||
529308|45433|10500|0|||684|||0||14834||||
529342|0|14004409|593|11213|227347|77734|0|0|284039||2838468|880977|45459|0|166403
530451|392454|0||0||442|28095|0|24566||1479|26013|0||1479
528475|24745|0|0|||0|||0||1250||||
528540|12630|0|0|||0|||0||0||||
529420|68393|0|0|0|0|33|0|0|0|0|0|0|0||0
528782|13083|0|0|||0|||0||0||||
528501|50734|0|0|||0|||0||26000||||
529392|19356961|0|77349737|0|27103|2140719|2309496|2614766|1879565||105430730|8115|0|129639217|1606411
529423|239826|0|0|||8365|||0||0||||
529424|2078|0|0|||0|||0||180||||
529464|266158|0|0|0|0|2042|0|14648|0|0|0|0|0||
529503|110131|0|0|||86|||0||5122||||
529540|13689|0|0|||15|||0||0||||
529547|124624|0|0|||90|||0||0||||
529551|135900|0||1412|0|505|0|7714|92694||3032|0|0||3032
529588|7347|0|0|0|0|0|0|0|0|0|0|0|0||0
529603|125338|0||2908|0|1545|0|1350|89899||127|0|0||127
