"name","street_address","city","state","zip","notes"
"Home Depot Rapid Deployment Center","6400 Jefferson Metro Pky","McCalla","AL","35111",
"Home Depot Distribution Center","7200 W. Buckeye Rd.","Phoenix","AZ","85043",
"Home Depot Rapid Deployment Center","9081 W. Washington St.","Tolleson","AZ","85353",
"Home Depot Distribution Center","300 S. 55th Ave.","Phoenix","AZ","85043",
"Home Depot Distribution Center","5450 E. Francis St.","Ontario","CA","91761",
"Home Depot Distribution Center","14659 Alondra Blvd. #B","La Mirada","CA","90638",
"Home Depot Distribution Center","94538 Enclyclopedia Cir","Fremont","CA","94538",
"Home Depot Distribution Center","8535 Oakwood Pl.","Rancho Cucamonga","CA","91730",
"Home Depot Distribution Center","11650 Venture Drive","Mira Loma","CA","91752",
"Home Depot Rapid Deployment Center","5655 E Ontario Mills Parkway","Ontario","CA","91764",
"Home Depot Rapid Deployment Center","1400 Pescadero Avenue","Tracy","CA","95304",
"Home Depot Distribution Center","771 East Watson Center Road","Carson","CA","90745","Long Beach Transload Facility"
"Home Depot Rapid Deployment Center","27352 River Bluff Avenue","Redlands","CA","92374",
"Home Depot Distribution Center","18300 Harlan Road","Lathrop","CA","95330",
"Home Depot Distribution Center","19710 S Susana Rd","Compton","CA","90221",
"Home Depot Distribution Center","9410 Heinze Way","Henderson","CO","80640",
"Home Depot Distribution Center","170 Highland Park Drive","Bloomfield","CT","06002",
"Home Depot Distribution Center","10205 Northwest 19th Street","Miami","FL","33172","Miami Export Center"
"Home Depot Distribution Center","2900 N Andrews Ave Ext","Pompano Beach","FL","33064",
"Home Depot Distribution Center","8423 Sunstate St","Tampa","FL","33634",
"Home Depot Distribution Center","4831 Bulls Bay Highway","Jacksonville","FL","32219",
"Home Depot Distribution Center","3010 Saddle Creek Road","Lakeland","FL","33805",
"Home Depot Distribution Center","180 Westridge Parkway","McDonough","GA","30253",
"Home Depot Distribution Center","190 Greenwood Industrial Parkway","McDonough","GA","30248",
"Home Depot Rapid Deployment Center","6201 Peterson Road","Lake Park","GA","31636",
"Home Depot Distribution Center","155 Alcovy Ind Blvd.","Dacula","GA","30019",
"Home Depot Distribution Center","125 Crossroads Pkwy","Savannah","GA","31407",
"Home Depot Distribution Center","Logistics Dr.","Elwood","IL","60421",
"Home Depot Rapid Deployment Center","2950 Centerpoint Way","Joliet","IL","60436",
"Home Depot Distribution Center","1000 Knell Road","Montgomery","IL","60538",
"Home Depot Distribution Center","1390 Perry Road","Plainfield","IN","46168",
"Home Depot Rapid Deployment Center","5200 Southwest Wenger Street","Topeka","KS","66609",
"Home Depot Distribution Center","835 A Pride Drive","Hammond","LA","70401",
"Home Depot Distribution Center","16500 Hunters Green Pkwy","Hagerstown","MD","21740",
"Home Depot Distribution Center","7100 Holladay Tyler Rd","Glenn Dale","MD","20769",
"Home Depot Distribution Center","625 University Avenue","Norwood","MA","02062",
"Home Depot Rapid Deployment Center","50 Campanelli Drive","Westfield","MA","01085",
"Home Depot Distribution Center","38481 Huron River Dr.","Romulus","MI","48174",
"Home Depot Distribution Center","722 Kasota Circle Southeast","Minneapolis","MN","55414",
"Home Depot Distribution Center","9215 Riverview Dr.","St. Louis","MO","63137",
"Home Depot Distribution Center","61 Cranbury Station Rd","Cranbury","NJ","08512",
"Home Depot Distribution Center","130 Interstate Blvd.","East Brunswick","NJ","08816",
"Home Depot Distribution Center","130 Docks Corner Road","South Brunswick","NJ","08810",
"Home Depot Distribution Center","2359 Center Square Rd","Swedesboro","NJ","08085",
"Home Depot Distribution Center","601 Neelytown Road","Montgomery","NY","12549",
"Home Depot Distribution Center","501 Black Satchel Drive","Charlotte","NC","28216",
"Home Depot Distribution Center","30301 Carter St","Solon","OH","44139",
"Home Depot Rapid Deployment Center","1980 Township Road 14","Van Buren","OH","45889",
"Home Depot Rapid Deployment Center","500 Gateway Blvd","Monroe","OH","45050",
"Home Depot Rapid Deployment Center","4999 Depot Court Southeast","Salem","OR","97317",
"Home Depot Rapid Deployment Center","300 Enterprise Way","Pittston","PA","18643",
"Home Depot Rapid Deployment Center","8500 Willard Drive","Breinigsville","PA","18031",
"Home Depot Distribution Center","861 Nestle Way","Breinigsville","PA","18031",
"Home Depot Rapid Deployment Center","420 Foster Brothers Dr","West Columbia","SC","29172",
"Home Depot Distribution Center","1701 N Claton Dr.","Columbia","TN","38401",
"Home Depot Distribution Center","2320 Beckleymeade Ave","Dallas","TX","75232",
"Home Depot Distribution Center","2200 Business Interstate 45","Corsicana","TX","75110",
"Home Depot Rapid Deployment Center","2315 Danieldale Road","Dallas","TX","75232",
"Home Depot Rapid Deployment Center","18100 Chisholm Trail","Houston","TX","77060",
"Home Depot Distribution Center","1102 State Highway 161","Grand Prairie","TX","75051",
"Home Depot Distribution Center","6115 Fm 1405 Rd","Baytown","TX","77523",
"Home Depot Distribution Center","10815 Sentinel Street","San Antonio","TX","78217",
"Home Depot Rapid Deployment Center","8103 Fallbrook Drive","Houston","TX","77064",
"Home Depot Distribution Center","1101 Industrial Park Dr","Layton","UT","84041",
"Home Depot Rapid Deployment Center","480 Park Center Drive","Winchester","VA","22603",
"Home Depot Distribution Center","280 Maranto Manor Dr","Winchester","VA","22602",
"Home Depot Distribution Center","8800 S 190th St","Kent","WA","98031",
"Home Depot Distribution Center","9303 Orion Drive Northeast","Lacey","WA","98516",
"Home Depot Distribution Center","2301 Taylor Way","Tacoma","WA","98421",
